City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Minot,US,48.2325,-101.2963,58.19,50,1,4.61,clear sky
69,Ust-Tsilma,RU,65.441,52.1498,38.37,83,86,8.12,overcast clouds
70,Torbay,CA,47.6666,-52.7314,46.67,84,75,9.22,broken clouds
71,Laguna,US,38.421,-121.4238,91.38,30,1,8.46,clear sky
72,Port Alfred,ZA,-33.5906,26.891,54.64,71,92,14.34,overcast clouds
73,Kharp,RU,66.8014,65.8081,38.5,56,37,11.25,scattered clouds
74,Axim,GH,4.8699,-2.2405,78.84,86,93,4.27,light rain
75,Tignere,CM,7.3667,12.65,66.47,84,100,2.26,light rain
76,Mayma,RU,52.0197,85.9114,68.13,48,27,4.18,scattered clouds
77,Tasiilaq,GL,65.6145,-37.6368,28.9,93,72,3.8,broken clouds
78,Dikson,RU,73.5069,80.5464,30.47,97,100,13.29,light snow
79,Ust-Donetskiy,RU,47.6419,40.8718,62.96,83,11,7.81,few clouds
80,Hobart,AU,-42.8794,147.3294,55.92,64,0,3.02,clear sky
81,Port Lincoln,AU,-34.7333,135.8667,60.46,37,100,12.57,light rain
82,Port Elizabeth,ZA,-33.918,25.5701,52.09,76,0,6.91,clear sky
83,Walvis Bay,NA,-22.9575,14.5053,55.09,93,14,10.6,few clouds
84,Katsuura,JP,35.1333,140.3,78.24,63,0,13.2,clear sky
85,Komsomolskiy,UZ,40.4272,71.7189,81.82,32,0,6.91,clear sky
86,Auki,SB,-8.7676,160.7034,82.47,78,88,3.89,overcast clouds
87,Norman Wells,CA,65.282,-126.8329,55.44,54,75,8.05,broken clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,51.01,62,0,15.01,clear sky
89,Ponta Do Sol,PT,32.6667,-17.1,63.72,75,9,3.65,clear sky
90,Gallup,US,35.5281,-108.7426,68.02,9,1,1.01,clear sky
91,Airai,TL,-8.9266,125.4092,75.02,51,91,2.68,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,52.9,71,96,7.25,overcast clouds
93,Provideniya,RU,64.3833,-173.3,51.91,43,0,20.13,clear sky
94,Cidreira,BR,-30.1811,-50.2056,47.28,68,15,8.01,few clouds
95,Kahului,US,20.8947,-156.47,83.46,70,1,10.36,clear sky
96,Isla Mujeres,MX,21.2311,-86.731,82.17,76,1,10.74,clear sky
97,Tanabi,BR,-20.6264,-49.6492,68.22,66,87,4,overcast clouds
98,Cabo San Lucas,MX,22.8909,-109.9124,82.81,72,0,13.87,clear sky
99,Santa Fe,AR,-31.6333,-60.7,54.01,64,0,1.01,clear sky
100,Nova Vicosa,BR,-17.8919,-39.3719,73.85,87,60,7.31,broken clouds
101,Avera,US,33.194,-82.5271,64.06,67,0,6.58,clear sky
102,Ostrovnoy,RU,68.0531,39.5131,44.58,67,99,12.19,overcast clouds
103,Roald,NO,62.5833,6.1333,49.91,93,90,5.75,overcast clouds
104,Mizdah,LY,31.4451,12.9801,64.89,51,51,4.99,broken clouds
105,Mwinilunga,ZM,-11.7358,24.4293,48.7,62,4,3.38,clear sky
106,Bengkulu,ID,-3.8004,102.2655,83.89,67,45,7.18,scattered clouds
107,Georgetown,MY,5.4112,100.3354,89.53,74,20,3,few clouds
108,Klaksvik,FO,62.2266,-6.589,52.72,91,3,18.37,clear sky
109,Jamestown,US,42.097,-79.2353,47.01,81,4,1.01,clear sky
110,Homer,US,59.6425,-151.5483,61.09,69,75,5.75,broken clouds
111,Iqaluit,CA,63.7506,-68.5145,35.33,87,90,5.99,overcast clouds
112,Changtu,CN,42.7788,124.0955,78.37,28,60,10.98,broken clouds
113,Hambantota,LK,6.1241,81.1185,86.34,79,75,20.74,broken clouds
114,Lebu,CL,-37.6167,-73.65,55.06,97,100,9.48,overcast clouds
115,Broadstairs,GB,51.3591,1.4394,53.62,86,0,1.99,clear sky
116,Sola,VU,-13.8833,167.55,77.67,89,90,5.75,overcast clouds
117,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,49.91,57,0,4.9,clear sky
118,Hobyo,SO,5.3505,48.5268,79,79,100,20.31,overcast clouds
119,Geraldton,AU,-28.7667,114.6,67.12,77,75,17.6,broken clouds
120,Sinnamary,GF,5.3833,-52.95,76.78,91,61,7.14,broken clouds
121,Arraial Do Cabo,BR,-22.9661,-42.0278,73.51,89,98,9.57,overcast clouds
122,Calabozo,VE,8.9242,-67.4293,78.06,71,61,4.25,broken clouds
123,Dunedin,NZ,-45.8742,170.5036,49.8,88,100,8.01,overcast clouds
124,Kapaa,US,22.0752,-159.319,83.12,67,100,4,overcast clouds
125,Conceicao Da Barra,BR,-18.5933,-39.7322,74.48,87,73,7.09,broken clouds
126,Hays,US,30.0502,-98.0336,74.21,90,92,3,overcast clouds
127,Pecanha,BR,-18.5486,-42.5569,62.85,84,93,2.46,overcast clouds
128,Belaya Gora,RU,68.5333,146.4167,68.9,25,7,12.86,clear sky
129,Bull Savanna,JM,17.8868,-77.5902,75.54,84,89,6.44,overcast clouds
130,Port-Cartier,CA,50.0334,-66.8654,50.22,62,100,4.25,overcast clouds
131,Grand Gaube,MU,-20.0064,57.6608,74.37,81,10,4,clear sky
132,Tombouctou,ML,20,-3,88.86,8,99,1.3,overcast clouds
133,Faanui,PF,-16.4833,-151.75,79.27,72,100,16.62,overcast clouds
134,Hilo,US,19.7297,-155.09,82.27,94,65,4,heavy intensity rain
135,Te Anau,NZ,-45.4167,167.7167,46.76,95,100,4.34,overcast clouds
136,Cayenne,GF,4.9333,-52.3333,79.09,86,75,6.24,broken clouds
137,Kabin Buri,TH,13.9511,101.7177,92.48,54,80,10.18,broken clouds
138,Husavik,IS,66.0449,-17.3389,44.51,72,38,8.41,scattered clouds
139,Yarada,IN,17.65,83.2667,88.12,84,75,11.56,broken clouds
140,Vardo,NO,70.3705,31.1107,43,88,100,18.57,overcast clouds
141,Skelleftea,SE,64.7507,20.9528,53.96,58,50,8.37,scattered clouds
142,Bayir,TR,37.2687,28.2167,54.12,58,13,0.31,few clouds
143,Saskylakh,RU,71.9167,114.0833,49.33,57,1,8.84,clear sky
144,Siparia,TT,10.1333,-61.5,80.08,92,70,8.9,broken clouds
145,Talnakh,RU,69.4865,88.3972,33.91,99,100,3.24,light rain
146,Maltahohe,NA,-24.8333,16.9833,52.36,36,13,6.78,few clouds
147,Salalah,OM,17.0151,54.0924,83.28,79,96,15.17,overcast clouds
148,Casper,US,42.8666,-106.3131,53.73,64,95,5.99,overcast clouds
149,Ancud,CL,-41.8697,-73.8203,56.23,98,100,12.77,light rain
150,Kpandu,GH,6.9954,0.2931,77.59,87,80,4.05,broken clouds
151,Ahipara,NZ,-35.1667,173.1667,58.73,79,55,13.51,broken clouds
152,Tabou,CI,4.423,-7.3528,78.12,85,96,3.51,overcast clouds
153,Hailar,CN,49.2,119.7,65.35,40,100,20.02,moderate rain
154,Vangaindrano,MG,-23.35,47.6,64.13,84,2,5.1,clear sky
155,Hamilton,US,39.1834,-84.5333,54.05,88,27,1.59,scattered clouds
156,New Norfolk,AU,-42.7826,147.0587,55.58,43,87,2.68,overcast clouds
157,Ribeira Grande,PT,38.5167,-28.7,63.52,84,92,7.34,overcast clouds
158,Sabratah,LY,32.7933,12.4885,70.56,64,53,6.35,broken clouds
159,Beyneu,KZ,45.3167,55.2,83.35,39,53,12.62,broken clouds
160,Bathsheba,BB,13.2167,-59.5167,81.21,65,75,18.14,broken clouds
161,Awbari,LY,26.5921,12.7805,79.05,25,0,4.9,clear sky
162,Lavrentiya,RU,65.5833,-171,38.55,70,79,11.95,broken clouds
163,Miandrivazo,MG,-19.5167,45.4667,67.15,66,0,2.64,clear sky
164,Bonthe,SL,7.5264,-12.505,77.02,89,100,6.62,moderate rain
165,Barrow,US,71.2906,-156.7887,31.73,90,100,14.45,overcast clouds
166,Marolambo,MG,-20.05,48.1167,62.55,88,3,2.57,clear sky
167,Kyzyl-Suu,KG,42.3414,78.0056,64.45,50,73,5.82,broken clouds
168,Caravelas,BR,-17.7125,-39.2481,72.77,88,70,4.32,broken clouds
169,Puri,IN,19.8,85.85,91.92,81,35,17.18,scattered clouds
170,Butaritari,KI,3.0707,172.7902,83.14,77,44,13.65,light rain
171,Sorland,NO,67.667,12.6934,45.91,94,100,9.17,overcast clouds
172,Agadez,NE,19.75,10.25,83.68,10,100,2.46,overcast clouds
173,Leningradskiy,RU,69.3833,178.4167,40.19,74,22,5.82,few clouds
174,Port Hardy,CA,50.6996,-127.4199,60.98,72,90,6.91,overcast clouds
175,Port Blair,IN,11.6667,92.75,85.84,68,79,5.21,broken clouds
176,Sitia,GR,35.2,26.0986,68.32,70,0,5.17,clear sky
177,Newton,US,42.337,-71.2092,49.55,95,90,3,overcast clouds
178,Tuatapere,NZ,-46.1333,167.6833,49.82,93,100,5.39,overcast clouds
179,Dzhida,RU,50.6772,106.1806,49.39,42,97,6.4,overcast clouds
180,Kaeo,NZ,-35.1,173.7833,61.32,76,8,10.42,clear sky
181,Puerto Leguizamo,CO,-0.1934,-74.7819,71.44,100,100,0.63,overcast clouds
182,Luwuk,ID,-0.9516,122.7875,84.52,74,85,5.46,overcast clouds
183,Quatre Cocos,MU,-20.2078,57.7625,74.08,77,28,11.36,scattered clouds
184,Sakakah,SA,29.9697,40.2064,78.37,11,57,1.92,broken clouds
185,Beinamar,TD,8.6698,15.3813,79.14,55,100,4.05,overcast clouds
186,Jablah,SY,35.3614,35.9256,66.49,55,0,6.91,clear sky
187,Ilulissat,GL,69.2167,-51.1,32.45,88,100,13.89,overcast clouds
188,Kaitangata,NZ,-46.2817,169.8464,50.05,94,100,7.67,overcast clouds
189,Kavadarci,MK,41.4331,22.0119,57.11,89,72,2.17,broken clouds
190,Vilhena,BR,-12.7406,-60.1458,68.97,65,95,2.39,overcast clouds
191,San Patricio,US,28.017,-97.5169,80.47,83,21,12.55,few clouds
192,Porto Seguro,BR,-16.4497,-39.0647,72.12,94,0,3.44,clear sky
193,Vanavara,RU,60.34,102.2797,56.75,44,15,5.39,few clouds
194,Hay River,CA,60.8156,-115.7999,37.38,87,75,9.22,broken clouds
195,Horgesti,RO,46.4333,27.0667,53.04,88,0,6.13,clear sky
196,Saint-Malo,FR,48.5,-1.8333,53.22,84,0,4.23,clear sky
197,Hasaki,JP,35.7333,140.8333,78.19,60,0,11.39,clear sky
198,Rosamorada,MX,22.1222,-105.2058,75.51,80,1,0.51,clear sky
199,Plouzane,FR,48.3833,-4.6167,51.89,90,5,9.13,clear sky
200,Hithadhoo,MV,-0.6,73.0833,84.04,69,9,17.94,clear sky
201,Dudinka,RU,69.4058,86.1778,33.57,100,100,9.55,overcast clouds
202,Assiniboia,CA,49.6334,-105.9845,58.91,20,0,8.72,clear sky
203,Gannan,CN,47.9147,123.5031,71.06,41,100,9.89,overcast clouds
204,Camocim,BR,-2.9022,-40.8411,73.4,87,1,7.94,clear sky
205,Nemuro,JP,43.3236,145.575,48.63,82,71,19.33,broken clouds
206,Bethel,US,41.3712,-73.414,48.56,92,100,1.01,light rain
207,Namibe,AO,-15.1961,12.1522,72.21,58,53,5.44,broken clouds
208,Pringsewu,ID,-5.3582,104.9744,88.54,58,22,3.71,few clouds
209,Monterey,US,36.2505,-121.2516,69.1,30,3,7.87,clear sky
210,Jibuti,DJ,11.5,42.5,81.82,46,6,7.29,clear sky
211,Tutoia,BR,-2.7619,-42.2744,77.68,86,12,7.4,few clouds
