City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
630,Kashi,CN,81.61,clear sky,39.4547,75.9797,帕米尔青年旅舍
634,Salinopolis,BR,78.44,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
636,George Town,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
638,Mahibadhoo,MV,83.64,scattered clouds,3.7833,72.9667,Omadhoo Inn
641,San Policarpo,PH,86.2,overcast clouds,12.1791,125.5072,JM Lodge
643,Sawakin,SD,89.35,scattered clouds,19.1059,37.3321,فندق الدويم
644,Huilong,CN,83.98,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
645,Makakilo City,US,82.15,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
648,Bakel,SN,88.16,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
649,Kupang,ID,86.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
650,Mandera,KE,76.23,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
656,Rantepao,ID,81.55,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
